,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,Boltz_affinity_pred_value,Boltz_affinity_pred_value1,Boltz_affinity_pred_value2,Boltz_affinity_probability_binary,Boltz_affinity_probability_binary1,Boltz_affinity_probability_binary2,Boltz_batch_variant,Boltz_chain_ptm_0,Boltz_chain_ptm_1,Boltz_complex_ipde,Boltz_complex_iplddt,Boltz_complex_pde,Boltz_complex_plddt,Boltz_confidence_score,Boltz_iptm,Boltz_ligand_iptm,Boltz_pair_chain_iptm_0-0,Boltz_pair_chain_iptm_0-1,Boltz_pair_chain_iptm_1-0,Boltz_pair_chain_iptm_1-1,Boltz_pair_chain_iptm_protein-ligand,Boltz_protein_iptm,Boltz_ptm,desc_QED,desc_SAscore,desc_CLogP,desc_MolWt,desc_HeavyAtomCount,desc_HeavyAtomMolWt,desc_NumHAcceptors,desc_NumHDonors,desc_NumHeteroatoms,desc_NumRotatableBonds,desc_NumAromaticRings,desc_NumAliphaticRings,desc_RingCount,desc_TPSA,desc_PenLogP,desc_FormalCharge,desc_MolecularFormula,desc_Bertz,desc_MaxConsecutiveRotatableBonds,desc_FlourineCount,norm_Boltz_affinity_pred_value,raw_Boltz_affinity_probability_binary,raw_desc_QED,amean,filter,passes_diversity_filter,filtered_amean,score_time,diversity_filter,diversity_filter_params
142,JNK3_actives,JNK3_test,1,142,13.604583501815796,Cn1ccc(-c2cc(Nc3ccc(-n4cnc(N5CCOCC5)n4)cc3)ncc2F)n1,true,1,true,0,0.2901455760002136,0.2734864354133606,0.30680471658706665,0.6328161954879761,0.5332528948783875,0.7323794960975647,1_142-0,0.9576564431190491,0.9269766807556152,0.6013014316558838,0.8627538084983826,0.47009050846099854,0.8560120463371277,0.8809847831726074,0.9808756113052368,0.9808756113052368,0.9576564431190491,0.822201669216156,0.9808756113052368,0.9269766807556152,0.822201669216156,0.0,0.9587228298187256,0.5313251975718982,0.0,2.7821000000000007,420.45200000000017,31,399.2840000000001,9,1,10,5,4,1,5,85.92,0.0,0,C21H21FN8O,1180.3252262811818,2,1,0.3399829391163274,0.6328161954879761,0.5313251975718982,0.5013747773920673,1.0,False,0.4913472818442259,41834.20834541321,ScaffoldSimilarityECFP,
143,JNK3_actives,JNK3_test,1,143,13.604583501815796,Cc1cnc(Nc2ccc(-n3cnc(N4CCOCC4)n3)cc2)cc1-c1ccn(C)n1,true,1,true,0,0.3949353098869324,0.48162341117858887,0.3082472085952759,0.5075427889823914,0.3828409016132355,0.6322446465492249,1_143-0,0.9628385901451111,0.9236560463905334,0.6387479305267334,0.8436333537101746,0.43888595700263977,0.8413447141647339,0.8684114813804626,0.9766784906387329,0.9766784906387329,0.9628385901451111,0.8103681206703186,0.9766784906387329,0.9236560463905334,0.8103681206703186,0.0,0.9632986187934875,0.5352624429236386,0.0,2.9514200000000015,416.48900000000015,31,392.29700000000014,9,1,9,5,4,1,5,85.92,0.0,0,C22H24N8O,1174.4563965495154,2,0,0.3146882870947609,0.5075427889823914,0.5352624429236386,0.45249783966693025,1.0,True,0.45249783966693025,41834.20834541321,ScaffoldSimilarityECFP,
144,JNK3_actives,JNK3_test,1,144,13.604583501815796,Fc1cnc(Nc2ccc(N3CCOCC3)cc2)cc1-c1ccn(Cc2ccccc2)n1,true,1,true,0,-0.30191296339035034,-0.600829005241394,-0.0029969438910484314,0.7314618825912476,0.7988683581352234,0.6640554666519165,1_144-0,0.934577465057373,0.9199528694152832,0.6390330791473389,0.8501789569854736,0.5920546054840088,0.8359849452972412,0.866010308265686,0.9861117005348206,0.9861117005348206,0.934577465057373,0.7717907428741455,0.9861117005348206,0.9199528694152832,0.7717907428741455,0.0,0.9373069405555725,0.48101149386820785,0.0,4.712700000000003,429.4990000000001,32,405.30700000000024,6,1,7,6,4,1,5,55.21,0.0,0,C25H24FN5O,1170.6787568281259,2,1,0.48289688855407215,0.7314618825912476,0.48101149386820785,0.5651234216711758,1.0,False,0.5538209532377523,41834.20834541321,ScaffoldSimilarityECFP,
145,JNK3_actives,JNK3_test,1,145,13.604583501815796,Fc1cnc(Nc2ccc(N3CCOCC3)cc2)cc1-c1ccn(CCc2ccccc2)n1,true,1,true,0,-0.22198356688022614,-0.5773339867591858,0.13336685299873352,0.6838269233703613,0.7448953986167908,0.6227583885192871,1_145-0,0.934158980846405,0.9290688633918762,0.6518078446388245,0.8446968793869019,0.6071975827217102,0.8355316519737244,0.8656288385391235,0.986017644405365,0.986017644405365,0.934158980846405,0.8010687828063965,0.986017644405365,0.9290688633918762,0.8010687828063965,0.0,0.937104344367981,0.4400265631834907,0.0,4.907100000000004,443.5260000000001,33,417.31800000000027,6,1,7,7,4,1,5,55.21,0.0,0,C26H26FN5O,1187.0500237157428,3,1,0.46360314482529213,0.6838269233703613,0.4400265631834907,0.5291522104597147,1.0,False,0.5079861220413261,41834.20834541321,ScaffoldSimilarityECFP,
146,JNK3_actives,JNK3_test,1,146,13.604583501815796,Fc1cnc(Nc2ccc(N3CCOCC3)cc2)cc1-c1ccn(CCN2CCOCC2)n1,true,1,true,0,0.20389112830162048,-0.2935866117477417,0.7013688683509827,0.675240159034729,0.714191734790802,0.6362885236740112,1_146-0,0.954772412776947,0.9037640690803528,0.5871012210845947,0.860181450843811,0.48183393478393555,0.8394452333450317,0.8686644434928894,0.9855411648750305,0.9855411648750305,0.954772412776947,0.7770179510116577,0.9855411648750305,0.9037640690803528,0.7770179510116577,0.0,0.9564477801322937,0.5911509271482336,0.0,2.996600000000001,452.5340000000003,33,423.30200000000025,8,1,9,7,3,2,5,67.68,0.0,0,C24H29FN6O2,1045.3629361448525,3,1,0.3608034542462436,0.675240159034729,0.5911509271482336,0.5423981801430687,1.0,False,0.5315502165402074,41834.20834541321,ScaffoldSimilarityECFP,
147,JNK3_actives,JNK3_test,1,147,13.604583501815796,COc1cccc(-n2ccc(-c3ccnc(Nc4ccc(-n5nc(C)nc5C)cc4)c3)n2)c1,true,1,true,0,0.7445436716079712,0.7305099964141846,0.7585773468017578,0.6920746564865112,0.8341423273086548,0.5500069856643677,1_147-0,0.9399300813674927,0.9254278540611267,0.674813985824585,0.8437050580978394,0.5806314945220947,0.8504772186279297,0.8776813745498657,0.9864978194236755,0.9864978194236755,0.9399300813674927,0.7816206216812134,0.9864978194236755,0.9254278540611267,0.7816206216812134,0.0,0.942448079586029,0.40750972715547834,0.0,4.884040000000003,437.5070000000002,33,414.3230000000002,8,1,8,6,5,0,5,82.67999999999999,0.0,0,C25H23N7O,1402.5725903082737,2,0,0.23029813239579525,0.6920746564865112,0.40750972715547834,0.4432941720125949,1.0,True,0.4432941720125949,41834.20834541321,ScaffoldSimilarityECFP,
148,JNK3_actives,JNK3_test,1,148,13.604583501815796,Cc1nc(C)n(-c2ccc(Nc3cc(-c4ccn(-c5cccc(C#N)c5)n4)ccn3)cc2)n1,true,1,true,0,0.6378375291824341,0.4255332350730896,0.8501418828964233,0.5797698497772217,0.539517879486084,0.6200218796730042,1_148-0,0.9168161749839783,0.9473364949226379,0.8506187200546265,0.8330076336860657,0.7255083322525024,0.848908007144928,0.8755057454109192,0.981896698474884,0.981896698474884,0.9168161749839783,0.7986654043197632,0.981896698474884,0.9473364949226379,0.7986654043197632,0.0,0.9204840660095215,0.43052824322810485,0.0,4.747120000000004,432.4910000000001,33,412.3310000000002,8,1,8,5,5,0,5,97.24000000000001,0.0,0,C25H20N8,1471.0841889329356,2,0,0.25605537636528075,0.5797698497772217,0.43052824322810485,0.42211782312353574,1.0,True,0.42211782312353574,41834.20834541321,ScaffoldSimilarityECFP,
149,JNK3_actives,JNK3_test,1,149,13.604583501815796,Cc1nc(C)n(-c2ccc(Nc3cc(-c4ccn(-c5ccccn5)n4)ccn3)cc2)n1,true,1,true,0,0.6463257670402527,0.4476225674152374,0.8450289368629456,0.6986668109893799,0.7228555083274841,0.6744781136512756,1_149-0,0.9323353171348572,0.9239471554756165,0.7078239917755127,0.8330228924751282,0.6202546954154968,0.8415703177452087,0.8706162571907043,0.9867998361587524,0.9867998361587524,0.9323353171348572,0.7728520035743713,0.9867998361587524,0.9239471554756165,0.7728520035743713,0.0,0.9352395534515381,0.4673456502599215,0.0,4.2704400000000025,408.46900000000005,31,388.30900000000014,8,1,8,5,5,0,5,86.34,0.0,0,C23H20N8,1319.479962867514,2,0,0.2540064445193242,0.6986668109893799,0.4673456502599215,0.47333963525620854,1.0,True,0.47333963525620854,41834.20834541321,ScaffoldSimilarityECFP,
150,JNK3_actives,JNK3_test,1,150,13.604583501815796,Cc1nc(C)n(-c2ccc(Nc3cc(-c4nn(C)cc4-c4ccc(F)cc4)ccn3)cc2)n1,true,1,true,0,-0.3675884008407593,-0.4287615120410919,-0.30641525983810425,0.7149392366409302,0.605236291885376,0.8246422410011292,1_150-0,0.917201578617096,0.9051328301429749,0.6590718030929565,0.8549578189849854,0.7068605422973633,0.8343490958213806,0.8654630780220032,0.989919126033783,0.989919126033783,0.917201578617096,0.7412200570106506,0.989919126033783,0.9051328301429749,0.7412200570106506,0.0,0.9213427901268005,0.40597150276940974,0.0,5.229340000000005,439.4980000000001,33,417.3220000000002,7,1,8,5,5,0,5,73.45,0.0,0,C25H22FN7,1416.4375509911647,2,1,0.49874994280906343,0.7149392366409302,0.40597150276940974,0.5398868940731345,1.0,False,0.5290891561916718,41834.20834541321,ScaffoldSimilarityECFP,
151,JNK3_actives,JNK3_test,1,151,13.604583501815796,Cc1nc(C)n(-c2ccc(Nc3cc(-c4nn(C)cc4-c4cccnc4)ccn3)cc2)n1,true,1,true,0,0.812441349029541,0.7027369737625122,0.9221457242965698,0.549122154712677,0.4808608591556549,0.6173834800720215,1_151-0,0.9621320366859436,0.9300169944763184,0.5387041568756104,0.8472940325737,0.42286521196365356,0.8332650661468506,0.8644582033157349,0.9892306327819824,0.9892306327819824,0.9621320366859436,0.8114987015724182,0.9892306327819824,0.9300169944763184,0.8114987015724182,0.0,0.9633309841156006,0.44923914365550477,0.0,4.485240000000003,422.4960000000001,32,400.32000000000016,8,1,8,5,5,0,5,86.34,0.0,0,C24H22N8,1367.1712187721905,2,0,0.2139086631248092,0.549122154712677,0.44923914365550477,0.4040899871643303,1.0,True,0.4040899871643303,41834.20834541321,ScaffoldSimilarityECFP,
152,JNK3_actives,JNK3_test,1,152,13.604583501815796,Cn1cc(-c2ncco2)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)n1,true,1,true,0,0.34984737634658813,0.04441959410905838,0.6552751660346985,0.650191068649292,0.6335052847862244,0.6668769121170044,1_152-0,0.9682585597038269,0.9327351450920105,0.45279285311698914,0.8541706800460815,0.3726058900356293,0.8465578556060791,0.8755857348442078,0.9916975498199463,0.9916975498199463,0.9682585597038269,0.8149930834770203,0.9916975498199463,0.9327351450920105,0.8149930834770203,0.0,0.9692056179046631,0.5448170746224549,0.0,3.7173000000000016,402.45800000000025,30,380.28200000000015,8,1,8,5,4,1,5,81.24000000000001,0.0,0,C22H22N6O2,1115.007490480485,2,0,0.32557183023370445,0.650191068649292,0.5448170746224549,0.5068599911684838,1.0,False,0.4967227913451141,41834.20834541321,ScaffoldSimilarityECFP,
153,JNK3_actives,JNK3_test,1,153,13.604583501815796,Cn1cc(-c2cn(C)nc2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)cn1,true,1,true,0,0.9192529320716858,0.521324634552002,1.3171812295913696,0.40211915969848633,0.3601251244544983,0.44411322474479675,1_153-0,0.9536994695663452,0.948929488658905,0.5482419729232788,0.8831235766410828,0.4786564111709595,0.8466894030570984,0.875312328338623,0.9898040890693665,0.9898040890693665,0.9536994695663452,0.8284201622009277,0.9898040890693665,0.948929488658905,0.8284201622009277,0.0,0.9554502367973328,0.5381849919576966,0.0,3.4628000000000023,415.50100000000026,31,390.30100000000016,8,1,8,5,4,1,5,73.03,0.0,0,C23H25N7O,1172.8704827158213,2,0,0.18812596739008766,0.40211915969848633,0.5381849919576966,0.37614337301542355,1.0,True,0.37614337301542355,41834.20834541321,ScaffoldSimilarityECFP,
154,JNK3_actives,JNK3_test,1,154,13.604583501815796,Cn1cc(-c2ccnn2C)c(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)n1,true,1,true,0,1.011864185333252,0.6127544641494751,1.4109737873077393,0.4540318250656128,0.3637149930000305,0.5443486571311951,1_154-0,0.9624073505401611,0.9338815212249756,0.5056478977203369,0.8804852366447449,0.4251753091812134,0.8466459512710571,0.8755537271499634,0.9911845922470093,0.9911845922470093,0.9624073505401611,0.8157733678817749,0.9911845922470093,0.9338815212249756,0.8157733678817749,0.0,0.9637107253074646,0.5381849919576966,0.0,3.4628000000000023,415.50100000000026,31,390.30100000000016,8,1,8,5,4,1,5,73.03,0.0,0,C23H25N7O,1172.8704827158215,2,0,0.16577101583476755,0.4540318250656128,0.5381849919576966,0.3859959442860257,1.0,True,0.3859959442860257,41834.20834541321,ScaffoldSimilarityECFP,
155,JNK3_actives,JNK3_test,1,155,13.604583501815796,Cc1nc(C)n(-c2ccc(Nc3cc(-c4nn(C)cc4C)ccn3)cc2)n1,true,1,true,0,1.2080824375152588,1.0209828615188599,1.3951820135116577,0.5348144173622131,0.4646085202693939,0.6050203442573547,1_155-0,0.95325767993927,0.9381055235862732,0.5969948172569275,0.8518379330635071,0.491908997297287,0.8460168242454529,0.8744727373123169,0.9882961511611938,0.9882961511611938,0.95325767993927,0.8055460453033447,0.9882961511611938,0.9381055235862732,0.8055460453033447,0.0,0.9547680616378784,0.6008982327713118,0.0,3.7316600000000015,359.43700000000007,27,338.26900000000006,7,1,7,4,4,0,4,73.45,0.0,0,C20H21N7,1089.978163536872,2,0,0.11840690653576584,0.5348144173622131,0.6008982327713118,0.4180398522230969,1.0,True,0.4180398522230969,41834.20834541321,ScaffoldSimilarityECFP,
156,JNK3_actives,JNK3_test,1,156,13.604583501815796,NS(=O)(=O)N1CCC(Nc2nccc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)n2)CC1,true,1,true,0,0.7382979393005371,0.607231616973877,0.8693642020225525,0.5493658781051636,0.5670796036720276,0.5316522121429443,1_156-0,0.9245191812515259,0.955098032951355,0.6861217617988586,0.8722387552261353,0.6577520966529846,0.8397044539451599,0.8686575293540955,0.9844697713851929,0.9844697713851929,0.9245191812515259,0.7580012679100037,0.9844697713851929,0.955098032951355,0.7580012679100037,0.0,0.9278894066810608,0.5950845495063372,0.0,0.2443000000000013,482.5880000000004,32,456.3800000000002,8,2,13,6,2,2,4,147.82,0.0,0,C19H26N6O5S2,1142.9856756604845,2,0,0.23180575742237644,0.5493658781051636,0.5950845495063372,0.45875206167795907,1.0,True,0.45875206167795907,41834.20834541321,ScaffoldSimilarityECFP,
157,JNK3_actives,JNK3_test,1,157,13.604583501815796,C=CCN1CCN(c2c(Cl)cccc2NC(=O)c2cnc(Br)s2)CC1,true,1,true,0,0.720714807510376,0.10263653099536896,1.3387930393218994,0.14415094256401062,0.16421730816364288,0.12408459186553955,1_157-0,0.934253454208374,0.9648082852363586,1.2545528411865234,0.7971739172935486,0.6627456545829773,0.8288667798042297,0.8542035222053528,0.955550491809845,0.955550491809845,0.934253454208374,0.721098005771637,0.955550491809845,0.9648082852363586,0.721098005771637,0.0,0.9348220825195312,0.7091966373621376,0.0,4.119300000000003,441.78200000000015,25,423.63800000000003,5,1,8,5,2,1,3,48.47,0.0,0,C17H18BrClN4OS,773.758381835558,2,0,0.2360500586872529,0.14415094256401062,0.7091966373621376,0.363132546204467,1.0,True,0.363132546204467,41834.20834541321,ScaffoldSimilarityECFP,
158,JNK3_actives,JNK3_test,1,158,13.604583501815796,Cc1cccc(NC(=O)c2ccc(Br)o2)c1N1CCC2(CC1)OCCO2,true,1,true,0,0.49803245067596436,0.18058595061302185,0.8154789805412292,0.5792461633682251,0.7348741888999939,0.4236181974411011,1_158-0,0.9692336320877075,0.9889608025550842,0.42249372601509094,0.8575229644775391,0.36934468150138855,0.8462284803390503,0.8756300210952759,0.9932363033294678,0.9932363033294678,0.9692336320877075,0.8857128620147705,0.9932363033294678,0.9889608025550842,0.8857128620147705,0.0,0.970127522945404,0.813562763163718,0.0,3.9461200000000023,421.2910000000004,26,400.1230000000002,5,1,7,3,2,2,4,63.94000000000001,0.0,0,C19H21BrN2O4,803.620496948693,1,0,0.28980220136907187,0.5792461633682251,0.813562763163718,0.560870375967005,1.0,False,0.5496529684476649,41834.20834541321,ScaffoldSimilarityECFP,
159,JNK3_actives,JNK3_test,1,159,13.604583501815796,Cc1cccc(NC(=O)c2ccc(Cl)o2)c1N1CCC2(CC1)OCCO2,true,1,true,0,0.29746922850608826,-0.08908639848232269,0.6840248703956604,0.608574390411377,0.7045937180519104,0.5125550627708435,1_159-0,0.9439660310745239,0.9848240613937378,0.5131038427352905,0.8533660173416138,0.4901827871799469,0.8447172045707703,0.8739070296287537,0.9906662702560425,0.9906662702560425,0.9439660310745239,0.8398255705833435,0.9906662702560425,0.9848240613937378,0.8398255705833435,0.0,0.9458718299865723,0.8813386536084916,0.0,3.8370200000000025,376.8400000000003,26,355.67200000000014,5,1,7,3,2,2,4,63.94000000000001,0.0,0,C19H21ClN2O4,803.620496948693,1,0,0.3382151205066988,0.608574390411377,0.8813386536084916,0.6093760548421892,1.0,False,0.5850010126485016,41834.20834541321,ScaffoldSimilarityECFP,
