id,pchembl_value,canonical_smiles,target_organism,source
CHEMBL1288129,5.8,Cn1ncnc1-c1ncsc1NC(=O)Cc1cccc2cnccc12,Homo sapiens,chembl
CHEMBL1288156,6.0,COC(=O)c1sccc1NC(=O)Cc1ccc(OC)cc1,Homo sapiens,chembl
CHEMBL1288157,6.16,COC(=O)c1sccc1NC(=O)Cc1ccc(-c2ccncc2)cc1,Homo sapiens,chembl
CHEMBL1288158,5.8,COC(=O)c1sccc1NC(=O)Cc1ccc(-n2ccnc2)cc1,Homo sapiens,chembl
CHEMBL1288159,6.33,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cnccn1,Homo sapiens,chembl
CHEMBL1288160,7.11,O=C(Cc1cccc2cnccc12)Nc1scnc1-c1cscn1,Homo sapiens,chembl
CHEMBL1288186,5.16,COC(=O)c1sccc1NC(=O)Cc1ccc(C(F)(F)F)cc1,Homo sapiens,chembl
CHEMBL1288187,5.41,COC(=O)c1sccc1NC(=O)Cc1ccc2ccccc2c1,Homo sapiens,chembl
CHEMBL1288188,5.82,COC(=O)c1sccc1NC(=O)Cc1cccc2ccccc12,Homo sapiens,chembl
CHEMBL1288214,4.9,COC(=O)c1sccc1NC(=O)Cc1ccccc1-c1c[nH]nn1,Homo sapiens,chembl
CHEMBL1288215,6.21,COC(=O)c1sccc1NC(=O)Cc1cccc2cnccc12,Homo sapiens,chembl
CHEMBL1288216,6.21,COC(=O)c1sccc1NC(=O)Cc1cccc2ncccc12,Homo sapiens,chembl
CHEMBL1288243,5.85,CC(C)OC(=O)c1sccc1NC(=O)Cc1ccccc1,Homo sapiens,chembl
CHEMBL1288244,5.42,COCCNC(=O)c1sccc1NC(=O)Cc1ccccc1,Homo sapiens,chembl
CHEMBL1288895,5.66,COC(=O)c1sccc1NC(=O)Cc1cccs1,Homo sapiens,chembl
CHEMBL1288930,5.57,COC(=O)c1sccc1NC(=O)Cc1ccccc1,Homo sapiens,chembl
CHEMBL1288931,4.76,COC(=O)c1sccc1NC(=O)Cc1ccncc1,Homo sapiens,chembl
CHEMBL1288932,4.77,CC(=O)c1sccc1NC(=O)Cc1ccccc1,Homo sapiens,chembl
CHEMBL1288964,4.54,C/C(=N/O)c1sccc1NC(=O)Cc1ccccc1,Homo sapiens,chembl
CHEMBL1288966,6.16,CCOC(=O)c1sccc1NC(=O)Cc1ccccc1,Homo sapiens,chembl
CHEMBL1288993,5.36,NC(=O)c1sccc1NC(=O)Cc1ccccc1,Homo sapiens,chembl
CHEMBL1289926,5.96,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,Homo sapiens,chembl
CHEMBL1301287,5.17,O=C1C(c2ccncc2)=C(O)c2ccccc21,Homo sapiens,chembl
CHEMBL1301494,4.88,CCOC(=O)CCC(NC(=O)c1ccc(NCN2C(=O)c3ccccc3C2=O)cc1)C(=O)OCC,Homo sapiens,chembl
CHEMBL1303401,5.08,O=C(c1ccc(Cn2c(=O)[nH]c3ccccc3c2=O)cc1)N1CCN(c2ccc(F)cc2)CC1,Homo sapiens,chembl
CHEMBL1304910,4.46,COc1cccc(C2=NOC(C(=O)NC3CCCCC3)C2)c1,Homo sapiens,chembl
CHEMBL1306899,4.5,Cn1c(C(=O)NCc2ccco2)cc2c(O)nc3ccccc3c21,Homo sapiens,chembl
CHEMBL1307032,5.72,CCn1cc(C2=NOC(C(=O)Nc3ccccc3C(=O)OC)C2)c(C)n1,Homo sapiens,chembl
CHEMBL1307136,4.61,COc1ccc(CC(=O)Nc2nc3ccccc3s2)cc1S(=O)(=O)N1CCOCC1,Homo sapiens,chembl
CHEMBL1307610,4.47,COC(=O)c1ccccc1NC(=O)C1CC(c2ccccc2O)=NO1,Homo sapiens,chembl
CHEMBL1307730,5.05,NC(=O)c1ccsc1NC(=O)c1ccc(S(=O)(=O)N2CCCCC2)cc1,Homo sapiens,chembl
CHEMBL1308000,4.53,C=C(C)COc1ccc(-c2nc(N)ncc2-c2ccc(OC)cc2)c(O)c1,Homo sapiens,chembl
CHEMBL1309187,4.89,COc1cccc(C2=NOC(C(=O)Nc3cccc(C(C)=O)c3)C2)c1,Homo sapiens,chembl
CHEMBL1310505,4.18,COC(=O)c1cc(Br)c(=O)n(Cc2ccncc2)c1,Homo sapiens,chembl
CHEMBL1313961,4.32,COc1ccc(OC)c(Nc2nc(N)nc(-c3cc4ccccc4o3)n2)c1,Homo sapiens,chembl
CHEMBL1319281,4.55,O=C(NCc1ccccn1)c1[nH]nc2ccccc12,Homo sapiens,chembl
CHEMBL1320813,4.53,O=C(Cn1cnc2ccccc2c1=O)Nc1ccc(-c2nnc3n2CCCCC3)cc1,Homo sapiens,chembl
CHEMBL1323269,4.37,O=C1CCCc2nn(-c3ccccc3)c(-c3ccncc3)c21,Homo sapiens,chembl
CHEMBL1324221,5.1,C=CCn1c(SCC(=O)Nc2sccc2C(N)=O)nc2sc(C)c(C)c2c1=O,Homo sapiens,chembl
CHEMBL1325688,4.49,CC(=O)Nc1ccc(S(=O)(=O)N2CCC(n3cnc4cc(F)ccc43)CC2)cc1,Homo sapiens,chembl
CHEMBL1325960,5.04,COC(=O)c1ccsc1NC(=O)C1=COCCO1,Homo sapiens,chembl
CHEMBL1327038,4.7,COc1ccc(-c2cnc(N)nc2-c2ccc(OC)cc2O)cc1,Homo sapiens,chembl
CHEMBL1329293,5.25,CCOc1ncccc1C(=O)Nc1cccc(C(=O)Nc2cccc(S(=O)(=O)CCO)c2)c1,Homo sapiens,chembl
CHEMBL1329408,4.39,Nc1nc(-c2ccccc2)cc(-c2ccccc2O)n1,Homo sapiens,chembl
CHEMBL1333047,4.74,O=C1c2ccccc2C(=O)C1c1ccncc1,Homo sapiens,chembl
